25.88,12/30/99
25.9,12/29/99
25.65,12/28/99
25.57,12/27/99
25.53,12/23/99
25.67,12/22/99
25.51,12/21/99
25.15,12/20/99
25.12,12/17/99
25.06,12/16/99
24.88,12/15/99
24.75,12/14/99
25.18,12/13/99
25.16,12/10/99
24.89,12/09/99
24.91,12/08/99
24.94,12/07/99
25.15,12/06/99
25.01,12/03/99
24.55,12/02/99
24.26,12/01/99
24.07,11/30/99
24.56,11/29/99
24.7,11/26/99
24.53,11/24/99
24.28,11/23/99
24.61,11/22/99
24.69,11/19/99
24.65,11/18/99
24.33,11/17/99
24.38,11/16/99
23.9,11/15/99
23.94,11/12/99
23.65,11/11/99
23.44,11/10/99
23.2,11/09/99
23.34,11/08/99
23.35,11/05/99
23.09,11/04/99
22.9,11/03/99
22.68,11/02/99
22.74,11/01/99
22.96,10/29/99
22.5,10/28/99
21.65,10/27/99
21.5,10/26/99
21.7,10/25/99
21.82,10/22/99
21.54,10/21/99
21.63,10/20/99
21.09,10/19/99
20.96,10/18/99
21,10/15/99
21.55,10/14/99
21.7,10/13/99
22.26,10/12/99
22.59,10/11/99
22.51,10/08/99
22.26,10/07/99
22.4,10/06/99
22.04,10/05/99
21.96,10/04/99
21.53,10/01/99
21.56,09/30/99
21.29,09/29/99
21.35,09/28/99
21.38,09/27/99
21.23,09/24/99
21.33,09/23/99
21.81,09/22/99
21.74,09/21/99
22.22,09/20/99
22.19,09/17/99
21.92,09/16/99
21.98,09/15/99
22.3,09/14/99
22.4,09/13/99
22.57,09/10/99
22.45,09/09/99
22.34,09/08/99
22.46,09/07/99
22.43,09/03/99
21.86,09/02/99
22.05,09/01/99
21.81,08/31/99
21.88,08/30/99
22.21,08/27/99
22.43,08/26/99
22.64,08/25/99
22.46,08/24/99
22.49,08/23/99
22.14,08/20/99
21.92,08/19/99
22.04,08/18/99
22.28,08/17/99
22.13,08/16/99
22.04,08/13/99
21.55,08/12/99
21.55,08/11/99
21.2,08/10/99
21.46,08/09/99
21.6,08/06/99
21.84,08/05/99
21.79,08/04/99
22.13,08/03/99
22.32,08/02/99
22.4,07/30/99
22.53,07/29/99
22.92,07/28/99
22.89,07/27/99
22.62,07/26/99
22.83,07/23/99
22.91,07/22/99
23.18,07/21/99
23.16,07/20/99
23.65,07/19/99
23.79,07/16/99
23.68,07/15/99
23.47,07/14/99
23.38,07/13/99
23.49,07/12/99
23.52,07/09/99
23.41,07/08/99
23.4,07/07/99
23.4,07/06/99
23.44,07/02/99
23.31,07/01/99
23.14,06/30/99
22.84,06/29/99
22.5,06/28/99
22.24,06/25/99
22.25,06/24/99
22.55,06/23/99
22.57,06/22/99
22.72,06/21/99
22.6,06/18/99
22.5,06/17/99
22.33,06/16/99
21.92,06/15/99
21.82,06/14/99
21.9,06/11/99
21.99,06/10/99
22.25,06/09/99
22.27,06/08/99
22.48,06/07/99
22.41,06/04/99
22.05,06/03/99
21.9,06/02/99
21.91,06/01/99
21.94,05/28/99
21.64,05/27/99
21.89,05/26/99
21.73,05/25/99
22.1,05/24/99
22.52,05/21/99
22.69,05/20/99
22.64,05/19/99
22.44,05/18/99
22.56,05/17/99
22.59,05/14/99
23.08,05/13/99
22.99,05/12/99
22.86,05/11/99
22.63,05/10/99
22.64,05/07/99
22.42,05/06/99
22.52,05/05/99
22.37,05/04/99
22.5,05/03/99
22.24,04/30/99
22.3,04/29/99
22.46,04/28/99
22.79,04/27/99
22.66,04/26/99
22.66,04/23/99
22.72,04/22/99
22.38,04/21/99
21.9,04/20/99
21.71,04/19/99
22.18,04/16/99
22.22,04/15/99
22.48,04/14/99
22.71,04/13/99
22.82,04/12/99
22.61,04/09/99
22.48,04/08/99
22.3,04/07/99
22.19,04/06/99
22.23,04/05/99
21.99,04/01/99
21.98,03/31/99
22.03,03/30/99
22.06,03/29/99
21.7,03/26/99
21.79,03/25/99
21.5,03/24/99
21.39,03/23/99
21.88,03/22/99
22.03,03/19/99
22.32,03/18/99
22.14,03/17/99
22.29,03/16/99
22.37,03/15/99
22.19,03/12/99
22.4,03/11/99
22.32,03/10/99
22.33,03/09/99
22.3,03/08/99
22.25,03/05/99
21.9,03/04/99
21.67,03/03/99
21.73,03/02/99
21.83,03/01/99
21.9,02/26/99
21.95,02/25/99
22.19,02/24/99
22.36,02/23/99
22.41,02/22/99
21.95,02/19/99
21.95,02/18/99
21.88,02/17/99
22.15,02/16/99
22.07,02/12/99
22.47,02/11/99
22.08,02/10/99
22.12,02/09/99
22.54,02/08/99
22.53,02/05/99
22.8,02/04/99
23.18,02/03/99
23.02,02/02/99
23.14,02/01/99
23.23,01/29/99
22.96,01/28/99
22.64,01/27/99
22.79,01/26/99
22.66,01/25/99
22.56,01/22/99
22.7,01/21/99
23.04,01/20/99
22.98,01/19/99
22.76,01/15/99
22.37,01/14/99
22.7,01/13/99
22.7,01/12/99
23.1,01/11/99
23.34,01/08/99
23.26,01/07/99
23.23,01/06/99
22.89,01/05/99
22.64,01/04/99
22.66,12/31/98
22.44,12/30/98
22.4,12/29/98
22.1,12/28/98
22.12,12/24/98
22.13,12/23/98
21.83,12/22/98
21.79,12/21/98
21.53,12/18/98
21.46,12/17/98
21.2,12/16/98
21.16,12/15/98
20.83,12/14/98
21.34,12/11/98
22.04,12/10/98
22.35,12/09/98
22.29,12/08/98
22.3,12/07/98
22.14,12/04/98
21.81,12/03/98
22.15,12/02/98
22.15,12/01/98
21.95,11/30/98
22.38,11/27/98
22.28,11/25/98
22.19,11/24/98
22.34,11/23/98
21.98,11/20/98
21.81,11/19/98
21.68,11/18/98
21.47,11/17/98
21.41,11/16/98
21.29,11/13/98
21.27,11/12/98
21.31,11/11/98
21.43,11/10/98
21.45,11/09/98
21.62,11/06/98
21.47,11/05/98
21.22,11/04/98
21.05,11/03/98
21.05,11/02/98
20.78,10/30/98
20.59,10/29/98
20.27,10/28/98
20.18,10/27/98
20.25,10/26/98
20.17,10/23/98
20.25,10/22/98
20.08,10/21/98
19.99,10/20/98
19.9,10/19/98
19.65,10/16/98
19.47,10/15/98
18.82,10/14/98
18.55,10/13/98
18.6,10/12/98
18.3,10/09/98
17.79,10/08/98
18.17,10/07/98
18.58,10/06/98
18.72,10/05/98
19.11,10/02/98
18.88,10/01/98
19.5,09/30/98
19.96,09/29/98
19.99,09/28/98
20.05,09/25/98
20.13,09/24/98
20.44,09/23/98
19.99,09/22/98
19.76,09/21/98
19.69,09/18/98
19.6,09/17/98
19.96,09/16/98
19.88,09/15/98
19.77,09/14/98
19.42,09/11/98
18.97,09/10/98
19.44,09/09/98
19.72,09/08/98
18.83,09/04/98
18.99,09/03/98
19.19,09/02/98
19.12,09/01/98
18.56,08/31/98
19.75,08/28/98
20.18,08/27/98
21.03,08/26/98
21.36,08/25/98
21.38,08/24/98
21.36,08/21/98
21.65,08/20/98
21.83,08/19/98
21.88,08/18/98
21.6,08/17/98
21.4,08/14/98
21.6,08/13/98
21.77,08/12/98
21.44,08/11/98
21.9,08/10/98
22.01,08/07/98
21.88,08/06/98
21.69,08/05/98
21.65,08/04/98
22.43,08/03/98
22.68,07/31/98
23.02,07/30/98
22.75,07/29/98
22.88,07/28/98
23.16,07/27/98
23.24,07/24/98
23.26,07/23/98
23.69,07/22/98
23.95,07/21/98
24.38,07/20/98
24.38,07/17/98
24.26,07/16/98
24.24,07/15/98
24.32,07/14/98
24.2,07/13/98
24.16,07/10/98
24.13,07/09/98
24.2,07/08/98
24.03,07/07/98
23.99,07/06/98
23.79,07/02/98
23.81,07/01/98
23.61,06/30/98
23.54,06/29/98
23.38,06/26/98
23.34,06/25/98
23.35,06/24/98
23.12,06/23/98
22.88,06/22/98
22.87,06/19/98
22.95,06/18/98
23.01,06/17/98
22.69,06/16/98
22.46,06/15/98
22.87,06/12/98
22.98,06/11/98
23.27,06/10/98
23.42,06/09/98
23.37,06/08/98
23.22,06/05/98
23.05,06/04/98
22.9,06/03/98
22.97,06/02/98
22.95,06/01/98
23.15,05/29/98
23.17,05/28/98
23,05/27/98
23.49,05/22/98
23.58,05/21/98
23.66,05/20/98
23.59,05/19/98
23.52,05/18/98
23.66,05/15/98
23.82,05/14/98
23.8,05/13/98
23.74,05/12/98
23.69,05/11/98
23.8,05/08/98
23.65,05/07/98
23.8,05/06/98
23.98,05/05/98
24.06,05/04/98
24.03,05/01/98
23.98,04/30/98
23.59,04/29/98
23.37,04/28/98
23.28,04/27/98
23.83,04/24/98
24.06,04/23/98
24.3,04/22/98
24.29,04/21/98
24.25,04/20/98
24.18,04/17/98
23.98,04/16/98
24.27,04/15/98
24.14,04/14/98
24.03,04/13/98
24.02,04/09/98
23.87,04/08/98
23.97,04/07/98
24.26,04/06/98
24.35,04/03/98
24.26,04/02/98
24.08,04/01/98
23.99,03/31/98
23.85,03/30/98
23.92,03/27/98
23.97,03/26/98
23.9,03/25/98
23.92,03/24/98
23.69,03/23/98
23.78,03/20/98
23.72,03/19/98
23.64,03/18/98
23.63,03/17/98
23.58,03/16/98
23.4,03/13/98
23.36,03/12/98
23.31,03/11/98
23.12,03/10/98
22.86,03/09/98
22.86,03/06/98
22.46,03/05/98
22.71,03/04/98
22.76,03/03/98
22.72,03/02/98
22.67,02/27/98
22.65,02/26/98
22.56,02/25/98
22.33,02/24/98
22.42,02/23/98
22.31,02/20/98
22.29,02/19/98
22.34,02/18/98
22.25,02/17/98
22.27,02/13/98
22.28,02/12/98
22.21,02/11/98
22.14,02/10/98
22,02/09/98
21.99,02/06/98
21.9,02/05/98
21.86,02/04/98
21.77,02/03/98
21.68,02/02/98
21.37,01/30/98
21.38,01/29/98
21.27,01/28/98
21.06,01/27/98
20.97,01/26/98
21.01,01/23/98
21.09,01/22/98
21.21,01/21/98
21.3,01/20/98
20.97,01/16/98
20.75,01/15/98
20.76,01/14/98
20.63,01/13/98
20.37,01/12/98
20.42,01/09/98
21.04,01/08/98
21.26,01/07/98
21.31,01/06/98
21.52,01/05/98
21.47,01/02/98
